# ell TT TE EE BB
271 5.562731e-02 1.057612e-03 5.213622e-05 2.997585e-07
272 5.491482e-02 1.063685e-03 5.320291e-05 2.994799e-07
273 5.420733e-02 1.069366e-03 5.427600e-05 2.991915e-07
274 5.350490e-02 1.074653e-03 5.535507e-05 2.988933e-07
275 5.280759e-02 1.079547e-03 5.643970e-05 2.985854e-07
276 5.211546e-02 1.084050e-03 5.752948e-05 2.982678e-07
277 5.142859e-02 1.088161e-03 5.862397e-05 2.979406e-07
278 5.074702e-02 1.091880e-03 5.972277e-05 2.976037e-07
279 5.007082e-02 1.095208e-03 6.082543e-05 2.972573e-07
280 4.940001e-02 1.098150e-03 6.193151e-05 2.969015e-07
281 4.873462e-02 1.100709e-03 6.304054e-05 2.965363e-07
282 4.807468e-02 1.102888e-03 6.415204e-05 2.961619e-07
283 4.742020e-02 1.104693e-03 6.526556e-05 2.957786e-07
284 4.677120e-02 1.106127e-03 6.638062e-05 2.953863e-07
285 4.612772e-02 1.107193e-03 6.749676e-05 2.949852e-07
286 4.548977e-02 1.107897e-03 6.861351e-05 2.945756e-07
287 4.485738e-02 1.108242e-03 6.973040e-05 2.941575e-07
288 4.423057e-02 1.108232e-03 7.084697e-05 2.937310e-07
289 4.360937e-02 1.107871e-03 7.196274e-05 2.932963e-07
290 4.299379e-02 1.107164e-03 7.307726e-05 2.928536e-07
291 4.238386e-02 1.106113e-03 7.419005e-05 2.924029e-07
292 4.177960e-02 1.104724e-03 7.530065e-05 2.919444e-07
293 4.118105e-02 1.103000e-03 7.640859e-05 2.914783e-07
294 4.058821e-02 1.100945e-03 7.751341e-05 2.910047e-07
295 4.000111e-02 1.098563e-03 7.861463e-05 2.905237e-07
296 3.941978e-02 1.095859e-03 7.971179e-05 2.900354e-07
297 3.884424e-02 1.092836e-03 8.080442e-05 2.895401e-07
298 3.827451e-02 1.089499e-03 8.189205e-05 2.890378e-07
299 3.771062e-02 1.085850e-03 8.297422e-05 2.885286e-07
300 3.715258e-02 1.081895e-03 8.405047e-05 2.880128e-07
301 3.660043e-02 1.077638e-03 8.512031e-05 2.874904e-07
302 3.605418e-02 1.073081e-03 8.618330e-05 2.869617e-07
303 3.551386e-02 1.068231e-03 8.723895e-05 2.864266e-07
304 3.497950e-02 1.063089e-03 8.828680e-05 2.858854e-07
305 3.445110e-02 1.057661e-03 8.932639e-05 2.853383e-07
306 3.392871e-02 1.051951e-03 9.035725e-05 2.847852e-07
307 3.341233e-02 1.045962e-03 9.137890e-05 2.842265e-07
308 3.290200e-02 1.039699e-03 9.239089e-05 2.836622e-07
309 3.239774e-02 1.033165e-03 9.339275e-05 2.830924e-07
310 3.189957e-02 1.026364e-03 9.438400e-05 2.825173e-07
311 3.140751e-02 1.019302e-03 9.536419e-05 2.819371e-07
312 3.092158e-02 1.011981e-03 9.633287e-05 2.813518e-07
313 3.044177e-02 1.004407e-03 9.728974e-05 2.807617e-07
314 2.996805e-02 9.965864e-04 9.823451e-05 2.801669e-07
315 2.950041e-02 9.885243e-04 9.916691e-05 2.795675e-07
316 2.903882e-02 9.802264e-04 1.000867e-04 2.789639e-07
317 2.858326e-02 9.716984e-04 1.009935e-04 2.783561e-07
318 2.813371e-02 9.629460e-04 1.018871e-04 2.777443e-07
319 2.769015e-02 9.539747e-04 1.027671e-04 2.771287e-07
320 2.725256e-02 9.447904e-04 1.036335e-04 2.765094e-07
321 2.682092e-02 9.353985e-04 1.044857e-04 2.758867e-07
322 2.639521e-02 9.258049e-04 1.053237e-04 2.752606e-07
323 2.597540e-02 9.160151e-04 1.061470e-04 2.746315e-07
324 2.556148e-02 9.060348e-04 1.069554e-04 2.739994e-07
325 2.515342e-02 8.958697e-04 1.077486e-04 2.733645e-07
326 2.475121e-02 8.855254e-04 1.085264e-04 2.727270e-07
327 2.435481e-02 8.750076e-04 1.092885e-04 2.720871e-07
328 2.396422e-02 8.643220e-04 1.100345e-04 2.714449e-07
329 2.357941e-02 8.534741e-04 1.107642e-04 2.708007e-07
330 2.320036e-02 8.424698e-04 1.114774e-04 2.701545e-07
331 2.282705e-02 8.313145e-04 1.121737e-04 2.695066e-07
332 2.245945e-02 8.200140e-04 1.128529e-04 2.688572e-07
333 2.209756e-02 8.085740e-04 1.135146e-04 2.682063e-07
334 2.174133e-02 7.970001e-04 1.141587e-04 2.675542e-07
335 2.139076e-02 7.852979e-04 1.147847e-04 2.669011e-07
336 2.104583e-02 7.734732e-04 1.153925e-04 2.662471e-07
337 2.070651e-02 7.615315e-04 1.159818e-04 2.655924e-07
338 2.037278e-02 7.494786e-04 1.165523e-04 2.649372e-07
339 2.004462e-02 7.373201e-04 1.171037e-04 2.642817e-07
340 1.972201e-02 7.250616e-04 1.176357e-04 2.636259e-07
341 1.940493e-02 7.127089e-04 1.181480e-04 2.629702e-07
342 1.909335e-02 7.002675e-04 1.186404e-04 2.623146e-07
343 1.878727e-02 6.877432e-04 1.191126e-04 2.616594e-07
344 1.848665e-02 6.751416e-04 1.195642e-04 2.610047e-07
345 1.819147e-02 6.624683e-04 1.199951e-04 2.603506e-07
346 1.790172e-02 6.497291e-04 1.204050e-04 2.596975e-07
347 1.761737e-02 6.369295e-04 1.207935e-04 2.590453e-07
348 1.733840e-02 6.240752e-04 1.211604e-04 2.583944e-07
349 1.706479e-02 6.111718e-04 1.215054e-04 2.577448e-07
350 1.679649e-02 5.982238e-04 1.218287e-04 2.570968e-07
351 1.653345e-02 5.852358e-04 1.221301e-04 2.564503e-07
352 1.627562e-02 5.722122e-04 1.224098e-04 2.558055e-07
353 1.602294e-02 5.591575e-04 1.226679e-04 2.551626e-07
354 1.577537e-02 5.460762e-04 1.229044e-04 2.545216e-07
355 1.553286e-02 5.329728e-04 1.231194e-04 2.538826e-07
356 1.529535e-02 5.198517e-04 1.233130e-04 2.532458e-07
357 1.506280e-02 5.067174e-04 1.234851e-04 2.526113e-07
358 1.483515e-02 4.935745e-04 1.236360e-04 2.519791e-07
359 1.461235e-02 4.804273e-04 1.237655e-04 2.513494e-07
360 1.439435e-02 4.672803e-04 1.238739e-04 2.507223e-07
361 1.418110e-02 4.541381e-04 1.239612e-04 2.500979e-07
362 1.397256e-02 4.410051e-04 1.240273e-04 2.494763e-07
363 1.376866e-02 4.278858e-04 1.240725e-04 2.488576e-07
364 1.356936e-02 4.147847e-04 1.240967e-04 2.482419e-07
365 1.337461e-02 4.017062e-04 1.241000e-04 2.476294e-07
366 1.318435e-02 3.886549e-04 1.240825e-04 2.470202e-07
367 1.299854e-02 3.756351e-04 1.240443e-04 2.464143e-07
368 1.281713e-02 3.626514e-04 1.239854e-04 2.458118e-07
369 1.264005e-02 3.497083e-04 1.239058e-04 2.452130e-07
370 1.246728e-02 3.368102e-04 1.238057e-04 2.446178e-07
371 1.229874e-02 3.239617e-04 1.236851e-04 2.440265e-07
372 1.213439e-02 3.111671e-04 1.235440e-04 2.434390e-07
373 1.197419e-02 2.984310e-04 1.233826e-04 2.428556e-07
374 1.181807e-02 2.857579e-04 1.232009e-04 2.422763e-07
375 1.166599e-02 2.731522e-04 1.229989e-04 2.417012e-07
376 1.151790e-02 2.606184e-04 1.227767e-04 2.411305e-07
377 1.137375e-02 2.481609e-04 1.225345e-04 2.405642e-07
378 1.123348e-02 2.357844e-04 1.222721e-04 2.400026e-07
379 1.109705e-02 2.234932e-04 1.219898e-04 2.394455e-07
380 1.096440e-02 2.112918e-04 1.216876e-04 2.388933e-07
381 1.083548e-02 1.991847e-04 1.213654e-04 2.383460e-07
382 1.071025e-02 1.871764e-04 1.210235e-04 2.378037e-07
